0
None CDLLLTADStrategy:策略初始化
None CDLLLTADStrategy:策略启动
"2018-02-01 20:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 20:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 20:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 20:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9777.28505759, slowMa[-1]:9560.06662944,fastAD[-1]:-4686.57680612,slowAD[-1]:-3812.6087781"
"2018-02-01 20:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 21:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 21:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 21:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 21:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9734.99720518, slowMa[-1]:10217.7414647,fastAD[-1]:-5958.46496983,slowAD[-1]:1179.91541262"
"2018-02-01 21:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 22:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 22:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 22:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-01 22:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9622.20613242, slowMa[-1]:8876.38004574,fastAD[-1]:-6489.88344572,slowAD[-1]:-8014.44737837"
"2018-02-01 22:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:1"
"2018-02-01 23:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:1"
"2018-02-01 23:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:1"
"2018-02-01 23:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:1"
"2018-02-01 23:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9609.07417643, slowMa[-1]:9939.0594767,fastAD[-1]:-7541.73156732,slowAD[-1]:1166.71061639"
"2018-02-01 23:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 00:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 00:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 00:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 00:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9517.76862626, slowMa[-1]:9371.6659814,fastAD[-1]:-7705.0687663,slowAD[-1]:-4579.19253461"
"2018-02-02 00:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 01:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 01:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 01:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 01:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9450.62361311, slowMa[-1]:9640.29820926,fastAD[-1]:-9210.12036671,slowAD[-1]:-6376.91957526"
"2018-02-02 01:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 02:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 02:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 02:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 02:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9393.33814317, slowMa[-1]:9855.31352525,fastAD[-1]:-9788.78344951,slowAD[-1]:-1671.85364834"
"2018-02-02 02:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 03:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 03:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 03:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 03:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9305.7256307, slowMa[-1]:9332.28022489,fastAD[-1]:-10284.767151,slowAD[-1]:-4877.78190156"
"2018-02-02 03:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 04:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 04:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 04:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 04:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9258.8497807, slowMa[-1]:9240.23636742,fastAD[-1]:-10852.216117,slowAD[-1]:-8520.27189297"
"2018-02-02 04:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 05:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 05:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 05:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 05:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9264.7039328, slowMa[-1]:9738.44393944,fastAD[-1]:-10500.3652848,slowAD[-1]:-2119.48004904"
"2018-02-02 05:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 06:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 06:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 06:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 06:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9232.55401603, slowMa[-1]:9636.49327433,fastAD[-1]:-10117.2266196,slowAD[-1]:-4120.47661654"
"2018-02-02 06:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 07:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 07:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 07:44:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:-100,self.maTrend:-1"
"2018-02-02 07:59:00 CDLLLTADStrategy:on60minBar, fastMa[-1]:9191.81883735, slowMa[-1]:9422.08055366,fastAD[-1]:-10715.3413489,slowAD[-1]:-5130.93967516"
"2018-02-02 07:59:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 08:14:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
"2018-02-02 08:29:00 CDLLLTADStrategy:invertedhammer[-1]:0, hangingman[-1]:0,self.maTrend:-1"
