commission,entryDt,entryPrice,exitDt,exitPrice,pnl,slippage,turnover,volume
0.1,2018-06-01 13:30:00,12.0501,2018-06-02 10:28:00,12.3132,-2.2833843702541863,0,200,-1
0.1,2018-06-02 10:30:00,12.31,2018-06-02 18:36:00,14.3269,16.2842404549147,0,200,1
0.1,2018-06-07 15:30:00,13.8749,2018-06-07 16:00:00,13.9393,-0.5641474893512682,0,200,-1
0.1,2018-06-07 16:00:00,13.9393,2018-06-07 16:10:00,13.8901,-0.45295890037519115,0,200,1
0.1,2018-06-07 17:00:00,13.7889,2018-06-08 00:30:00,13.9702,-1.4148256931299832,0,200,-1
0.1,2018-06-08 00:30:00,13.9702,2018-06-08 12:00:00,13.9,-0.6024981746861162,0,200,1
0.1,2018-06-08 19:00:00,13.72,2018-06-09 05:45:00,14.1531,-3.2567055393585975,0,200,-1
0.1,2018-06-09 08:00:00,13.9794,2018-06-09 09:00:00,14.1348,-1.211635692518994,0,200,-1
0.1,2018-06-09 09:00:00,14.1348,2018-06-09 21:10:00,14.2116,0.4433398420918614,0,200,1
0.1,2018-06-17 19:00:00,10.5716,2018-06-19 00:29:00,10.5702,-0.0867569715085674,0,200,-1
0.1,2018-06-19 04:30:00,10.6573,2018-06-19 14:35:00,10.4179,-2.346347573963385,0,200,1
0.1,2018-06-20 10:30:00,10.309,2018-06-21 00:27:00,10.5991,-2.9140459792414464,0,200,-1
0.1,2018-06-21 08:00:00,10.412,2018-06-21 09:30:00,10.4595,-0.5562043795620383,0,200,-1
0.1,2018-06-21 09:30:00,10.4595,2018-06-21 09:31:00,10.4585,-0.10956068645728234,0,200,1
0.1,2018-06-21 10:30:00,10.6787,2018-06-21 16:04:00,10.4881,-1.884861453173138,0,200,1
0.1,2018-06-21 22:30:00,10.3602,2018-06-22 21:28:00,8.64,16.503926565124225,0,200,-1
0.1,2018-06-28 23:00:00,7.861,2018-06-29 13:44:00,7.4691,4.885370817962088,0,200,-1
0.1,2018-07-02 00:30:00,7.9425,2018-07-02 05:00:00,8.07,-1.7052880075543015,0,200,-1
0.1,2018-07-02 05:00:00,8.07,2018-07-02 08:41:00,8.0294,-0.60309789343246,0,200,1
0.1,2018-07-02 14:00:00,7.9076,2018-07-02 21:28:00,8.2804,-4.814451919672211,0,200,-1
0.1,2018-07-02 21:30:00,8.3444,2018-07-04 07:02:00,8.7508,4.770332198839936,0,200,1
0.1,2018-07-05 08:30:00,8.8625,2018-07-05 13:00:00,9.0609,-2.3386459802538724,0,200,-1
0.1,2018-07-05 13:00:00,9.0609,2018-07-05 13:26:00,9.0148,-0.6087794810670123,0,200,1
0.1,2018-07-05 13:30:00,8.999,2018-07-05 17:00:00,9.0434,-0.5933881542393549,0,200,-1
0.1,2018-07-05 17:00:00,9.0434,2018-07-05 17:02:00,9.0243,-0.3112037508016885,0,200,1
0.1,2018-07-05 18:00:00,9.0445,2018-07-05 18:01:00,9.0163,-0.4117916966112002,0,200,1
0.1,2018-07-05 19:00:00,9.1116,2018-07-05 19:41:00,9.0086,-1.2304271478115782,0,200,1
0.1,2018-07-05 20:00:00,8.9731,2018-07-05 20:30:00,9.0381,-0.8243873354804861,0,200,-1
0.1,2018-07-05 20:30:00,9.0381,2018-07-05 21:30:00,9.017,-0.3334561467565148,0,200,1
0.1,2018-07-05 21:30:00,9.017,2018-07-06 20:08:00,8.6909,3.516502162581793,0,200,-1
0.1,2018-07-07 20:30:00,8.5238,2018-07-08 07:26:00,8.7,-2.1671531476571446,0,200,-1
0.1,2018-07-15 03:30:00,6.9471,2018-07-15 03:31:00,6.9472,-0.098560550445513,0,200,1
0.1,2018-07-15 10:30:00,6.8854,2018-07-15 13:00:00,6.9586,-1.1631190635257203,0,200,-1
0.1,2018-07-15 13:00:00,6.9586,2018-07-15 13:08:00,6.9436,-0.3155606012703659,0,200,1
0.1,2018-07-15 14:00:00,6.9866,2018-07-17 02:04:00,8.11,15.979351902212796,0,200,1
0.1,2018-07-23 07:30:00,7.8372,2018-07-23 10:20:00,8.0986,-3.435374878783229,0,200,-1
0.1,2018-07-23 14:30:00,8.334,2018-07-23 17:30:00,8.0834,-3.1069594432445453,0,200,1
0.1,2018-07-23 23:30:00,8.0566,2018-07-24 14:00:00,8.0428,0.07128813643472198,0,200,-1
0.1,2018-07-24 19:30:00,8.1917,2018-07-26 11:04:00,8.5131,3.8234835260080176,0,200,1
0.1,2018-07-26 15:00:00,8.8218,2018-07-26 19:17:00,8.6021,-2.590421455938692,0,200,1
0.1,2018-07-27 03:00:00,8.6574,2018-07-27 23:13:00,8.3209,3.7868482454316643,0,200,-1
0.1,2018-07-28 17:30:00,8.3163,2018-07-31 03:51:00,7.7023,7.283091038081838,0,200,-1
0.1,2018-08-02 11:30:00,7.1912,2018-08-03 01:02:00,7.1579,0.36306596951830783,0,200,-1
0.1,2018-08-04 21:00:00,6.9914,2018-08-06 05:00:00,7.0469,-0.893832422690739,0,200,-1
0.1,2018-08-06 05:00:00,7.0469,2018-08-06 05:02:00,7.0421,-0.16811505768494459,0,200,1
0.1,2018-08-06 08:30:00,7.071,2018-08-06 15:47:00,7.0139,-0.9075236883043438,0,200,1
0.1,2018-08-06 16:30:00,6.99,2018-08-07 03:00:00,6.9904,-0.10572246065808236,0,200,-1
0.1,2018-08-07 03:00:00,6.9904,2018-08-07 03:01:00,6.9865,-0.15579079880979332,0,200,1
0.1,2018-08-07 06:00:00,6.9672,2018-08-07 07:00:00,6.973,-0.18324721552416762,0,200,-1
